CourseDefinitionID,AbbrTitle,CourseCode,CourseFactor,EqCreditValue,ExtractToWeb,MaxEnrolments,MinEnrolments,Stage,StartDate,EndDate,CourseTitle,CostCategoryID,DeliveryModeID,EducationInstituteID,NZSCEDCategoryID,ProgrammeIDOwning,SourceOfFundingID,CourseDefinitionStatusID,CourseDefinitionSubstatusID,CourseDesc,OrgUnitIDOwning,IsThesisCourse
78,NULL,LAWS384,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2009-12-31 00:00:00,Legislation,5,4,1,107,85,1,3,1,"The legislative process, legislative drafting, statutory interpretation, distinctive features of Statute Law.",10073,0
79,NULL,LAWS385,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Advanced Intellectual Property Law,5,4,1,106,85,1,3,1,"A detailed study of the protection of intellectual property through patents, registered designs and industrial copyright issues together with advanced study of issues of current importance in intellectual property law.",10073,0
80,NULL,LAWS386,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Legal Research and Writing,5,4,1,112,85,1,3,2,An introduction to manual and electronic research methodologies in law and the drafting of legal opinions and academic writing.,10073,0
81,NULL,LAWS387,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Feminist Legal Theory,5,4,1,113,85,1,3,2,Theoretical perspectives from different schools of feminist legal thought and the application of feminist legal theory to selected issues in law.,10073,0
82,NULL,LAWS388,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Comparative Securities Regulation,5,4,1,106,85,1,3,2,A study of the regulation of the public offering of securities in selected jurisdictions.,10073,0
83,NULL,LAWS389,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Trial Advocacy,5,4,1,112,85,1,3,1,Theory and practice of trial advocacy.,10073,0
84,NULL,LAWS390,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Conflict of Laws,5,4,1,113,85,1,3,1,"The application of foreign law in New Zealand courts. The limits of the jurisdiction of New Zealand courts. The validity, operation and enforcement of foreign judgements.",10073,0
85,NULL,LAWS391,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Maori Land Law,5,4,1,113,85,1,3,1,An introduction to the law relating to Maori land and related resources.,10073,0
86,NULL,LAWS392,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,The Treaty of Waitangi,5,4,1,113,85,1,3,1,The status and effect of the Treaty of Waitangi in the legal system.,10073,0
87,NULL,LAWS393,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Contemporary Issues in Real Property,5,4,1,113,85,1,3,1,Advanced study of contemporary concepts of real property.,10073,0
88,NULL,LAWS394,0.107,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Special Topic: Judicial Review,5,4,1,113,85,1,3,1,NULL,10073,0
89,NULL,LAWS394,0.0917,11,1,0,0,3,2006-01-01 00:00:00,2007-12-31 00:00:00,Special Topic: Animal Law,5,4,1,113,85,1,3,1,"This course will introduce students to the principles, rules and regulations that affect animals. The course will examine the evolution and content of the Animal Welfare Act 1999 and consider how it, and other areas of law, including contract, tort and criminal law, address issues of welfare, protection, cruelty and abuse, legal standing for animals, ownership, valuation, custody and ethical and legal dilemmas posed by the capture, confinement and commercial use of animals.",10073,0
90,NULL,LAWS395,0.107,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Special Topic: Principles of Civil Procedure,5,4,1,111,85,1,3,2,NULL,10073,0
91,NULL,LAWS396,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Media Law,5,4,1,113,85,1,3,1,NULL,10073,0
92,NULL,LAWS397,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Special Topic: Civil Litigation,5,4,1,111,85,1,3,1,"An examination of the priniciples of civil procedure, the underlying philosophy of the regulations of court proceedings, and an examination of the rules by which parties resolve disputes before civil tribunals.",10073,0
93,NULL,LAWS398,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Legal Ethics,5,4,1,112,85,1,3,1,An introduction to ethical theories and their applicability to legal practice. The concept of a profession and the duties and responsibilities of lawyers.,10073,0
94,NULL,LAWS399,0.107,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Legal Ethics,5,4,1,112,85,1,3,2,An introduction to ethical theories and their applicability to legal practice. The concept of a profession and the duties and responsibilities of lawyers.,10073,0
95,NULL,LAWS401,0.1,12,1,0,0,6,2005-01-01 00:00:00,2005-12-31 00:00:00,Honours Seminar Paper,19,3,1,113,85,1,3,1,NULL,10073,0
96,NULL,LAWS451,0.2,24,1,0,0,4,2005-01-01 00:00:00,2010-12-31 00:00:00,Honours Dissertation,19,3,1,113,85,1,3,1,NULL,10073,0
97,NULL,LAWS501,0.107,12,1,0,0,6,2005-01-01 00:00:00,2005-12-31 00:00:00,Honours Research Paper,19,3,1,113,85,1,3,1,NULL,10073,0
98,NULL,LAWS601,0.3333,40,1,0,0,6,2005-01-01 00:00:00,2019-12-31 00:00:00,Legal Research and Methodology,19,3,1,112,87,1,3,1,NULL,10073,0
99,NULL,LAWS602,0.3333,40,1,0,0,6,2005-01-01 00:00:00,2019-12-31 00:00:00,New Zealand Legal System,19,3,1,113,87,1,3,1,NULL,10073,0
100,NULL,LAWS603,0.3333,40,1,0,0,6,2005-01-01 00:00:00,2020-07-05 00:00:00,Public Law,19,3,1,107,87,1,3,1,NULL,10073,0
101,NULL,LAWS604,0.3333,40,1,0,0,6,2005-01-01 00:00:00,2021-12-31 00:00:00,Criminal Law,19,3,1,108,87,1,2,1,NULL,10073,0
